pdb,solvent,e3,n3
201,2_6-dimethylpyridine,7.33,1.495
202,2_4_6-trimethylpyridine,12.02,1.495
205,2-cyanopyridine,93.8,1.529
206,pyrimidine,,1.499
207,quinoline,8.95,1.624
208,acetonitrile,35.94,1.341
209,propionitrile,28.26,1.363
210,n-butyronitrile,24.83,1.382
211,3-methylbutanenitrile,19.71,1.395
212,acrylonitrile,33,1.388
213,phenylacetonitrile,18.7,1.52
214,benzonitrile,25.2,1.525
215,nitromethane,35.87,1.379
216,nitroethane,28.06,1.389
217,1-nitropropane,23.24,1.399
218,2-nitropropane,25.52,1.392
219,nitrobenzene,34.78,1.55
220,formamide,109.5,1.446
221,N-methylformamide,182.4,1.43
222,N_N-dimethylformamide,36.71,1.428
223,N_N-dimethylthioformamide,47.5,1.576
224,N_N-diethylformamide,29.02,1.434
225,N-methylacetamide,191.3,1.425
226,N_N-dimethylacetamide,37.78,1.435
227,N_N-diethylacetamide,31.33,1.439
228,2-pyrrolidinone,27.79,1.486
229,N-methyl_pyrrolidinone,32.2,1.467
230,N-methyl_thiopyrrolidinone,47.5,1.583
231,tetramethylurea,23.6,1.449
232,tetraethylurea,14.74,1.446
233,dimethylcyanamide,37.23,1.409
234,carbon_disulfide,2.64,1.624
235,dimethyl_sulfide,6.2,1.432
236,diethyl_sulfide,5.72,1.44
237,diisopropyl_sulfide,5.81,1.438
238,dibutyl_sulfide,4.41,1.45
239,tetrahydrothiophene,8.61,1.502
240,thiane,6.58,1.51
241,dimethylsulfoxide,46.45,1.477
242,dibutyl_sulfoxide,,
243,sulfolane,43.26,1.481
244,thiobis2-ethanol,27.84,1.519
245,diethyl_sulfite,15.6,1.415
246,dimethyl_sulfate,50.28,1.386
247,diethyl_sulfate,16.2,1.414
248,methanesulfonic_acid,,1.432
249,trimethylphosphate,16.39,1.395
250,triethylphosphate,10.79,1.403
251,tri-n-butylphosphate,8.91,1.422
252,hexamethylphosphoric_triamide,39.5,1.507
253,hydrogen_peroxide,70.7,1.407
254,hydrogen_fluoride,84,1.34
255,sulfuric_acid,100,1.4184
256,ammonia,22.38,1.325
257,hydrazine,52.9,1.469
258,sulfur_dioxide,11.9,1.357
259,thionyl_chloride,9.25,1.516
260,phosphorus_oxychloride,13.9,1.484
